service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10-1-127,1,1,1,1,1,1,1,20250715,20251017
11-1-127,1,1,1,1,1,1,1,20250715,20251017
1-1-127,1,1,1,1,1,1,1,20250715,20251017
12-1-127,1,1,1,1,1,1,1,20250715,20251017
13-1-127,1,1,1,1,1,1,1,20250715,20251017
14-1-127,1,1,1,1,1,1,1,20250715,20251017
15-1-127,1,1,1,1,1,1,1,20250715,20251017
19-1-127,1,1,1,1,1,1,1,20250715,20251017
20-1-127,1,1,1,1,1,1,1,20250715,20251017
2-1-127,1,1,1,1,1,1,1,20250715,20251017
23-1-127,1,1,1,1,1,1,1,20250715,20251017
25-1-127,1,1,1,1,1,1,1,20250715,20251017
26-1-127,1,1,1,1,1,1,1,20250715,20251017
27-1-127,1,1,1,1,1,1,1,20250715,20251017
28-1-127,1,1,1,1,1,1,1,20250715,20251017
29-1-127,1,1,1,1,1,1,1,20250715,20251017
30-1-127,1,1,1,1,1,1,1,20250715,20251017
31-1-127,1,1,1,1,1,1,1,20250715,20251017
3-1-127,1,1,1,1,1,1,1,20250715,20251017
4-1-127,1,1,1,1,1,1,1,20250715,20251017
5-1-127,1,1,1,1,1,1,1,20250715,20251017
6-1-127,1,1,1,1,1,1,1,20250715,20251017
7-1-127,1,1,1,1,1,1,1,20250715,20251017
8-1-127,1,1,1,1,1,1,1,20250715,20251017
9-1-127,1,1,1,1,1,1,1,20250715,20251017
