dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;dcat.publisher_type;dcat.conforms_to;dcat.temporal_coverage_start;dcat.temporal_coverage_end;dcat.accessRights;dcat.relation;default.title;default.description;default.theme;default.keyword;default.license;default.license_url;default.language;default.metadata_languages;default.timezone;default.modified;default.modified_updates_on_metadata_change;default.modified_updates_on_data_change;default.data_processed;default.metadata_processed;default.geographic_reference;default.geographic_reference_auto;default.territory;default.geometry_types;default.bbox;default.publisher;default.references;default.records_count;default.attributions;default.source_domain;default.source_domain_title;default.source_domain_address;default.source_dataset;default.shared_catalog;default.federated;default.parent_domain;default.update_frequency;custom.cycle;custom.periodicity;custom.test-meta;datasetid
2016-03-14;;;;;;Annuelle ;;2011/2015;;;;;;;;;Effectif des agents de la sûreté ferroviaire depuis 2011;<p>Nombre d'agents de la sûreté ferroviaire de 2011 à 2015. </p>;Informations institutionnelles et financières;Sûreté,Effectifs;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2017-04-01T08:23:53+00:00;False;True;2017-04-01T08:23:53+00:00;2023-02-15T14:18:39.558000+00:00;world_fr;True;France;;;SNCF;;10;;;;;;;False;;;;Irrégulière;;effectif-agents-surete-ferroviaire
;2014-07-07;;;;;;;De 2003 à 2013;;;;;;;;;Consistance du réseau ferroviaire depuis 2003;"<p>Consistance du réseau ferroviaire de 2003 à 2013.</p><ul>
<li>""Lignes équipées de la radio sol-train"" : ce champ inclut également, depuis 2008, le GSM-R (Global System for Mobile communications – Railways), un standard de communication GSM adapté aux communications dans le secteur ferroviaire.</li><li>""Lignes équipées de block automatique"" : dispositif de signalisation permettant d'espacer les trains. Compte tenu de leur masse importante et de leur vitesse, les trains ont besoin de grandes distances pour s’arrêter. Pour espacer les trains par la distance, la ligne est divisée en cantons, sachant qu'un seul train est admis dans le canton. L’entrée de chaque canton est commandée par un signal d’arrêt pouvant prendre la forme d'un block automatique. Dans ce cas, les essieux du train provoquent automatiquement la fermeture des signaux.</li></ul><p>Ces données sont issues du Rapport annuel Sécurité de l'exploitation  sur le réseau ferré national français. Publié chaque année, ce rapport  dresse le bilan des activités sécurité de l’entreprise et répond à  l’obligation d’information faite à SNCF selon les termes de l’article  17 du <a href=""http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000000788918"">décret n° 2006- 1279 du 19 octobre 2006</a> relatif à la sécurité des circulations ferroviaires et à l'interopérabilité du système ferroviaire.</p>";Réseau;Réseau,Infrastructure,Sécurité & Qualité de Service Ferroviaire;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2017-04-01T08:17:48+00:00;False;True;2017-04-01T08:17:48+00:00;2021-04-02T12:44:46.122000+00:00;world_fr;True;France;;;SNCF Réseau;;11;;;;;;;False;;;;;;consistance-reseau-ferroviaire-depuis-2003
;2014-07-08;Union européenne;;;;;;2004 à 2009;Etats membre de l'Union européenne;;;;;;;;Valeurs nationales de référence de risque ferroviaire établies par la Commission européenne;"<p>Valeurs nationales de référence de risque ferroviaire établies par la Commission européenne en fonction des performances de chaque État membre dans le secteur ferroviaire.</p><p>Il existe six catégories de valeurs nationales de référence (VNR) des risques :</p><ul><li>VNR 1 : pour  les passagers</li><li>VNR 2 : pour le personnel</li><li>VNR 3 : pour les utilisateurs des passages à niveau</li><li>VNR 4 : pour les personnes définies comme ""autres""</li><li>VNR 5 : pour les personnes non autorisées</li><li>VNR 6 : pour l'ensemble de la société</li></ul><p>Les données proposées en téléchargement exposent la VNR des risques pour l'ensemble de la société (VNR 6). Plus une valeur est faible, plus le risque ferroviaire est faible lui aussi.</p><p>La VNR 6  est exprimée par le rapport suivant : nombre total de MBGP (blessés graves et tués par an en raison d’accidents graves) sur le nombre de train-km par an. L'indicateur est donc relatif à la consistance de chaque réseau ferroviaire. Le nombre total de MBGP est entendu comme la somme de toutes les MBGP prises en compte dans le calcul des autres VNR.</p><p>L'ensemble des indicateurs VNR est accessible dans la pièce jointe.</p>";Informations institutionnelles;Sécurité,Accidents,Union européenne;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2017-05-17T08:16:49+00:00;False;True;2017-05-17T08:16:49+00:00;2023-07-04T13:21:22.874000+00:00;world_fr;True;France;;;SNCF;;26;;;;;;;False;;;;Irrégulière;;eur-lex-vrn-2013
;;;;;;;;;;;;;;;;;Charges de personnel CCO du groupe SNCF Réseau depuis 2015;<p>Charges de personnel depuis 2015 issues du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales)</p>;Réseau;SNCF RESEAU,Comptes Consolidés,Charges,personnel,Charges de personnel;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T10:41:33+00:00;True;True;2021-07-01T13:24:47+00:00;2025-09-19T01:13:50.562000+00:00;world_fr;True;France;;;SNCF Réseau;;5;;;;;;;True;datasncf;;;Annuelle;;charges-de-personnel-2017-cco
;;;;;;;;;;;;;;;;;Indicateurs RSE de SNCF Réseau depuis 2016;"<p>Ce jeu de données n'est plus mis à jour depuis 2020.<br/></p><p>Ce jeu de données contient l’ensemble des indicateurs de responsabilité sociétale de l’Entreprise (RSE) SNCF RESEAU depuis  2016.</p><p>Ce jeu de données présente les indicateurs de la politique de responsabilité Sociétale de l’Entreprise (RSE) de SNCF RESEAU. Ces indicateurs recouvrent les 42 thématiques du décret 225 de la loi Grenelle 2 que sont les volets sociaux (l’emploi, l’organisation du travail, les relations sociales, la santé, la sécurité, la formation, l’égalité de traitement, la discrimination…), environnementaux (la pollution, la gestion des déchets, l’utilisation durable des ressources, le changement climatique, la protection de la biodiversité, l’énergie … et sociétaux (ancrage territorial, économique et social des activités de SNCF Réseau, le dialogue avec les parties prenantes…) mais aussi des 3 principes d’actions qui la gouverne (parties prenantes, gouvernance et éthique).</p><p>Eléments de compréhension sur certains indicateurs : <a href=""https://www.sncf-reseau.com/sites/default/files/2019-09/M%C3%A9thodologie%20DPEF%20SNCF%20R%C3%A9seau%202018.pdf"" style='background-color: rgb(255, 255, 255); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif; font-size: 0.833rem;'>https://www.sncf-reseau.com/sites/default/files/2019-09/M%C3%A9thodologie%20DPEF%20SNCF%20R%C3%A9seau%202018.pdf</a></p>";Réseau;SNCF RESEAU,Indicateurs ,RSE;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-23T13:19:30+00:00;True;True;2020-07-08T10:02:23+00:00;2025-09-19T01:14:14.570000+00:00;world_fr;True;France;;;SNCF Réseau;;159;;;;;;;True;datasncf;;;Annuelle;;indicateurs-rse-2016
;;;;;;;;;;;;;;;;;Engagements hors bilan donnés CCO du groupe SNCF Réseau depuis 2015;<p>EHB donnés depuis 2015 issus du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales)</p>;Réseau;SNCF RESEAU,Comptes Consolidés,EHB,EHB donnés;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T09:56:36+00:00;True;True;2021-07-01T13:31:21+00:00;2025-09-19T01:13:59.566000+00:00;world_fr;True;France;;;SNCF Réseau;;432;;;;;;;True;datasncf;;;Annuelle;;engagements-hors-bilan-donnes-2017-cco
;2016-03-03;;;;;Annuelle ;;Depuis 1996;SNCF;;;;;;;;Résultats des élections au Comité d'Entreprise;<p>Résultats des élections des membres du Comité d’Entreprise depuis 1996. </p>;Social et ressources humaines;Social,Elections,Comité d'entreprise,Direction Cohésion;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-12-01T13:18:58+00:00;False;True;2022-12-01T13:18:58+00:00;2022-12-01T13:20:07.831000+00:00;world_fr;True;France;;;SNCF;;12;;;;;;;False;;;;Irrégulière;;resultats-elections-ce
;;;;;;;;;;;;;;;;;Ventilation du chiffre d'affaires CCO du groupe SNCF Réseau depuis 2015;<p>Ventilation du chiffre d'affaires depuis 2015 issue du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales)</p>;Réseau;SNCF RESEAU,Comptes Consolidés, Ventilation Chiffre d'Affaires;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T08:43:12+00:00;True;True;2021-07-01T13:20:32+00:00;2025-09-19T01:13:47.565000+00:00;world_fr;True;France;;;SNCF Réseau;;20;;;;;;;True;datasncf;;;Annuelle;;ventilation-du-chiffre-daffaires-2017-cco
;;;;;;;;;;;;;;;;;Immobilisations corporelles CCO du groupe SNCF Réseau depuis 2015;<p>Immobilisations corporelles depuis 2015 issues du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales)</p>;Réseau;SNCF RESEAU,Comptes Consolidés,Immobilisations Corporelles;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T09:54:28+00:00;True;True;2021-06-29T08:50:32+00:00;2025-09-19T01:13:13.552000+00:00;world_fr;True;France;;;SNCF Réseau;;432;;;;;;;True;datasncf;;;Annuelle;;immobilisations-corporelles-2017-cco
;;;;;;;;;;;;;;;;;Liste des chantiers;<p>Localisation des chantiers du Réseau Ferré National.</p><p>Les chantiers sont les établissements qui font du triage de wagons : les chantiers, les différents faisceaux utilisés pour le garage du matériel.</p><p>Ces objets sont localisés par leur point d’entrée sur le réseau. Ils peuvent être de ce fait localisés soit directement sur une ligne, soit sur un autre objet (lui-même localisé sur une ligne).</p><p>Lorsqu’un élément se trouve à proximité de plusieurs lignes, il est projeté sur les différentes lignes.</p><p>Les coordonnées sont exprimées en Lambert 93 et WGS84 (EPSG:3857).</p><p>date de mise à jour 28/03/2024</p>;Réseau;SNCF RESEAU,Infrastructure,Géolocalisation;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;Europe/Paris;2022-03-24T10:43:12+00:00;True;True;2024-03-28T14:26:55+00:00;2025-09-19T01:10:05.811000+00:00;world;True;World;Point;"{""coordinates"": [[[8.183805271983147, 51.05494616087526], [-4.475865717977285, 51.05494616087526], [-4.475865717977285, 42.43186759762466], [8.183805271983147, 42.43186759762466], [8.183805271983147, 51.05494616087526]]], ""type"": ""Polygon""}";SNCF Réseau;;4214;;;;;;;True;datasncf;;;Annuelle;;liste-des-chantiers
